"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Slade Heathcott","Yankees",".400","2","6.7 %","16.7 %",".429","23.8 %","38.1 %","38.1 %","208","86.8 %","77.6 %","49.6 %","2.7 %","13.5 %","3.6 %","10.8 %","5.47","-2.65","1.00","13.93","7.51","20.4 %","70.2 %","46.0 %","54.6 %","82.5 %","76.5 %","28.6 %","38.1 %","33.3 %","10336"
"Tyrone Taylor","Brewers",".400","0","8.3 %","8.3 %",".500","11.1 %","88.9 %","0.0 %","190","100.0 %","87.5 %","18.6 %","4.7 %","55.8 %","7.0 %","2.3 %","5.70","-10.52","0.19","14.88","3.74","13.6 %","61.9 %","37.2 %","66.7 %","92.3 %","87.5 %","33.3 %","22.2 %","44.4 %","13675"
"Yovani Gallardo","- - -",".455","0","7.1 %","14.3 %",".500","50.0 %","37.5 %","12.5 %","174","80.0 %","75.0 %","50.0 %","","16.7 %","7.4 %","3.7 %","2.45","","2.39","3.65","-0.23","19.2 %","53.6 %","37.0 %","60.0 %","80.0 %","75.0 %","27.3 %","36.4 %","36.4 %","8173"
"Lane Thomas","Cardinals",".316","4","9.1 %","18.2 %",".409","26.7 %","46.7 %","26.7 %","181","89.8 %","83.1 %","37.7 %","6.9 %","14.3 %","8.0 %","8.0 %","3.65","8.60","7.91","-1.54","-1.54","23.9 %","57.5 %","40.6 %","71.4 %","88.0 %","83.1 %","33.3 %","36.7 %","30.0 %","16939"
"Yordan Alvarez","Astros",".313","27","14.1 %","25.5 %",".412","24.9 %","38.0 %","37.1 %","178","84.9 %","75.9 %","36.0 %","6.2 %","16.7 %","10.1 %","12.3 %","2.72","-0.65","2.72","0.12","2.17","31.6 %","58.5 %","43.4 %","62.8 %","85.2 %","76.1 %","38.5 %","37.6 %","24.0 %","19556"
"Mike Trout","Angels",".305","187","17.3 %","20.4 %",".435","23.1 %","34.5 %","42.5 %","178","88.9 %","82.1 %","40.5 %","6.0 %","15.8 %","7.0 %","7.6 %","2.25","2.97","1.42","1.86","3.92","21.1 %","56.7 %","37.9 %","66.9 %","88.3 %","82.0 %","40.2 %","34.4 %","25.4 %","10155"
"Jordan Patterson","Rockies",".444","0","5.3 %","5.3 %",".474","29.4 %","35.3 %","35.3 %","153","94.7 %","88.9 %","47.5 %","11.5 %","19.7 %","1.6 %","13.1 %","5.71","-6.35","-4.76","-5.22","7.93","46.2 %","68.6 %","59.0 %","83.3 %","91.7 %","88.9 %","47.1 %","29.4 %","23.5 %","15119"
"Edwin Rios","Dodgers",".277","4","16.1 %","37.5 %",".393","26.9 %","46.2 %","26.9 %","161","80.6 %","70.1 %","28.5 %","6.5 %","21.7 %","11.0 %","9.5 %","2.65","4.98","2.30","1.64","0.50","30.4 %","62.6 %","44.5 %","53.3 %","80.6 %","70.1 %","38.5 %","26.9 %","34.6 %","18316"
"Sam Hilliard","Rockies",".273","7","10.3 %","26.4 %",".356","18.5 %","42.6 %","38.9 %","138","79.0 %","73.8 %","35.3 %","7.3 %","13.1 %","12.3 %","12.5 %","3.41","-3.74","1.35","-1.40","1.80","28.0 %","58.0 %","41.8 %","63.8 %","79.4 %","73.8 %","53.7 %","31.5 %","14.8 %","17954"
"David Ortiz","Red Sox",".294","75","12.7 %","14.6 %",".381","22.2 %","34.7 %","43.0 %","151","87.9 %","80.1 %","36.3 %","5.9 %","14.5 %","7.6 %","11.0 %","1.37","2.83","1.58","0.14","2.54","27.1 %","68.7 %","44.9 %","64.2 %","88.4 %","80.1 %","46.2 %","34.2 %","19.6 %","745"
